degree,count
0,32781
1,24061
2,20215
3,17860
4,16147
5,14835
6,13983
7,13193
8,12148
9,11812
10,11189
11,10659
12,10296
13,9966
14,9478
15,9200
16,8696
17,8612
18,8309
19,8033
20,7882
21,7527
22,7404
23,7299
24,6881
25,6910
26,6684
27,6475
28,6316
29,6220
30,6223
31,5909
32,5953
33,5631
34,5737
35,5544
36,5517
37,5330
38,5129
39,5266
40,5131
41,5005
42,4857
43,4761
44,4834
45,4689
46,4606
47,4585
48,4513
49,4381
50,4342
51,4218
52,4283
53,4191
54,4214
55,4018
56,4070
57,3897
58,3896
59,3809
60,3751
61,3816
62,3699
63,3678
64,499446
